our_number,dedup_group_id,dedup_rank,is_canonical_stage2,is_exact_duplicate_stage2,is_conflict_version_stage2,quality_score,drop_reason
25-11-20807-000004-4,SINGLE|25-11-20807-000004-4,1,1,0,0,0,kept_canonical
25-11-20807-000006-6,SINGLE|25-11-20807-000006-6,1,1,0,0,1,kept_canonical
25-11-20808-000001-6,SINGLE|25-11-20808-000001-6,1,1,0,0,0,kept_canonical
25-11-20808-000002-7,SINGLE|25-11-20808-000002-7,1,1,0,0,0,kept_canonical
25-11-20811-000001-9,SINGLE|25-11-20811-000001-9,1,1,0,0,0,kept_canonical
25-11-20811-000002-4,SINGLE|25-11-20811-000002-4,1,1,0,0,0,kept_canonical
25-11-20811-000004-3,SINGLE|25-11-20811-000004-3,1,1,0,0,0,kept_canonical
25-11-20816-000001-8,SINGLE|25-11-20816-000001-8,1,1,0,0,0,kept_canonical
25-11-20816-000002-6,SINGLE|25-11-20816-000002-6,1,1,0,0,0,kept_canonical
25-11-20816-000003-9,SINGLE|25-11-20816-000003-9,1,1,0,0,0,kept_canonical
25-11-20816-000004-7,SINGLE|25-11-20816-000004-7,1,1,0,0,0,kept_canonical
25-11-20816-000005-2,SINGLE|25-11-20816-000005-2,1,1,0,0,0,kept_canonical
25-11-20816-000006-0,SINGLE|25-11-20816-000006-0,1,1,0,0,0,kept_canonical
25-11-20816-000007-1,SINGLE|25-11-20816-000007-1,1,1,0,0,0,kept_canonical
25-11-20817-000001-0,SINGLE|25-11-20817-000001-0,1,1,0,0,0,kept_canonical
25-11-20817-000002-9,SINGLE|25-11-20817-000002-9,1,1,0,0,0,kept_canonical
25-11-20817-000003-2,SINGLE|25-11-20817-000003-2,1,1,0,0,0,kept_canonical
25-11-20818-000001-3,SINGLE|25-11-20818-000001-3,1,1,0,0,0,kept_canonical
25-11-20818-000002-1,SINGLE|25-11-20818-000002-1,1,1,0,0,0,kept_canonical
25-11-20818-000003-7,SINGLE|25-11-20818-000003-7,1,1,0,0,0,kept_canonical
25-11-20818-000004-5,SINGLE|25-11-20818-000004-5,1,1,0,0,0,kept_canonical
25-11-20818-000007-6,SINGLE|25-11-20818-000007-6,1,1,0,0,1,kept_canonical
25-11-20818-000008-4,SINGLE|25-11-20818-000008-4,1,1,0,0,0,kept_canonical
25-11-20818-000009-2,SINGLE|25-11-20818-000009-2,1,1,0,0,0,kept_canonical
25-11-20818-000010-1,SINGLE|25-11-20818-000010-1,1,1,0,0,0,kept_canonical
25-11-20818-000011-7,SINGLE|25-11-20818-000011-7,1,1,0,0,0,kept_canonical
25-11-20818-000012-5,SINGLE|25-11-20818-000012-5,1,1,0,0,0,kept_canonical
25-11-20818-000013-0,SINGLE|25-11-20818-000013-0,1,1,0,0,1,kept_canonical
25-11-20819-000020-1,SINGLE|25-11-20819-000020-1,1,1,0,0,0,kept_canonical
25-11-20819-000021-7,SINGLE|25-11-20819-000021-7,1,1,0,0,0,kept_canonical
25-11-20819-000022-5,SINGLE|25-11-20819-000022-5,1,1,0,0,1,kept_canonical
25-11-20819-000023-0,SINGLE|25-11-20819-000023-0,1,1,0,0,0,kept_canonical
25-11-20819-000024-9,SINGLE|25-11-20819-000024-9,1,1,0,0,1,kept_canonical
25-11-20819-000025-8,SINGLE|25-11-20819-000025-8,1,1,0,0,0,kept_canonical
25-11-20819-000026-3,SINGLE|25-11-20819-000026-3,1,1,0,0,0,kept_canonical
25-11-20819-000027-4,SINGLE|25-11-20819-000027-4,1,1,0,0,0,kept_canonical
25-11-20819-000028-2,SINGLE|25-11-20819-000028-2,1,1,0,0,0,kept_canonical
25-11-20819-000029-6,SINGLE|25-11-20819-000029-6,1,1,0,0,0,kept_canonical
25-11-20819-000030-9,SINGLE|25-11-20819-000030-9,1,1,0,0,0,kept_canonical
25-11-20819-000031-4,SINGLE|25-11-20819-000031-4,1,1,0,0,1,kept_canonical
25-11-20819-000035-1,SINGLE|25-11-20819-000035-1,1,1,0,0,1,kept_canonical
25-11-20820-000001-5,SINGLE|25-11-20820-000001-5,1,1,0,0,0,kept_canonical
25-11-20820-000002-8,SINGLE|25-11-20820-000002-8,1,1,0,0,1,kept_canonical
25-11-20820-000003-1,SINGLE|25-11-20820-000003-1,1,1,0,0,0,kept_canonical
25-11-20820-000004-4,SINGLE|25-11-20820-000004-4,1,1,0,0,1,kept_canonical
25-11-20820-000005-3,SINGLE|25-11-20820-000005-3,1,1,0,0,1,kept_canonical
25-11-20820-000006-6,SINGLE|25-11-20820-000006-6,1,1,0,0,1,kept_canonical
25-11-20820-000007-7,SINGLE|25-11-20820-000007-7,1,1,0,0,1,kept_canonical
25-11-20820-000008-9,SINGLE|25-11-20820-000008-9,1,1,0,0,1,kept_canonical
25-11-20823-000001-7,SINGLE|25-11-20823-000001-7,1,1,0,0,0,kept_canonical
25-11-20823-000002-5,SINGLE|25-11-20823-000002-5,1,1,0,0,0,kept_canonical
25-11-20823-000003-0,SINGLE|25-11-20823-000003-0,1,1,0,0,0,kept_canonical
25-11-20823-000004-9,SINGLE|25-11-20823-000004-9,1,1,0,0,0,kept_canonical
25-11-20823-000005-8,SINGLE|25-11-20823-000005-8,1,1,0,0,0,kept_canonical
25-11-20823-000006-3,SINGLE|25-11-20823-000006-3,1,1,0,0,1,kept_canonical
25-11-20823-000007-4,SINGLE|25-11-20823-000007-4,1,1,0,0,0,kept_canonical
25-11-20823-000008-2,SINGLE|25-11-20823-000008-2,1,1,0,0,0,kept_canonical
25-11-20823-000010-5,SINGLE|25-11-20823-000010-5,1,1,0,0,1,kept_canonical
25-11-20823-000013-9,SINGLE|25-11-20823-000013-9,1,1,0,0,1,kept_canonical
25-11-20823-000015-2,SINGLE|25-11-20823-000015-2,1,1,0,0,0,kept_canonical
25-11-20823-000016-0,SINGLE|25-11-20823-000016-0,1,1,0,0,0,kept_canonical
25-11-20823-000018-3,SINGLE|25-11-20823-000018-3,1,1,0,0,0,kept_canonical
25-11-20823-000020-8,SINGLE|25-11-20823-000020-8,1,1,0,0,0,kept_canonical
25-11-20823-000022-4,SINGLE|25-11-20823-000022-4,1,1,0,0,0,kept_canonical
25-11-20823-000026-2,SINGLE|25-11-20823-000026-2,1,1,0,0,0,kept_canonical
25-11-20823-000027-0,SINGLE|25-11-20823-000027-0,1,1,0,0,0,kept_canonical
25-11-20823-000029-7,SINGLE|25-11-20823-000029-7,1,1,0,0,0,kept_canonical
25-11-20823-000031-1,SINGLE|25-11-20823-000031-1,1,1,0,0,0,kept_canonical
25-11-20823-000032-2,SINGLE|25-11-20823-000032-2,1,1,0,0,0,kept_canonical
25-11-20823-000034-0,SINGLE|25-11-20823-000034-0,1,1,0,0,0,kept_canonical
25-11-20823-000036-5,SINGLE|25-11-20823-000036-5,1,1,0,0,0,kept_canonical
25-11-20823-000038-7,SINGLE|25-11-20823-000038-7,1,1,0,0,0,kept_canonical
25-11-20823-000039-8,SINGLE|25-11-20823-000039-8,1,1,0,0,0,kept_canonical
25-11-20823-000040-4,SINGLE|25-11-20823-000040-4,1,1,0,0,0,kept_canonical
25-11-20823-000042-0,SINGLE|25-11-20823-000042-0,1,1,0,0,0,kept_canonical
25-11-20823-000043-6,SINGLE|25-11-20823-000043-6,1,1,0,0,1,kept_canonical
25-11-20823-000044-8,SINGLE|25-11-20823-000044-8,1,1,0,0,0,kept_canonical
25-11-20823-000046-1,SINGLE|25-11-20823-000046-1,1,1,0,0,0,kept_canonical
25-11-20823-000047-3,SINGLE|25-11-20823-000047-3,1,1,0,0,0,kept_canonical
25-11-20823-000048-5,SINGLE|25-11-20823-000048-5,1,1,0,0,1,kept_canonical
25-11-20823-000049-9,SINGLE|25-11-20823-000049-9,1,1,0,0,0,kept_canonical
25-11-20823-000050-0,SINGLE|25-11-20823-000050-0,1,1,0,0,0,kept_canonical
25-11-20823-000051-3,SINGLE|25-11-20823-000051-3,1,1,0,0,0,kept_canonical
25-11-20823-000052-1,SINGLE|25-11-20823-000052-1,1,1,0,0,0,kept_canonical
25-11-20823-000053-7,SINGLE|25-11-20823-000053-7,1,1,0,0,0,kept_canonical
25-11-20823-000054-5,SINGLE|25-11-20823-000054-5,1,1,0,0,0,kept_canonical
25-11-20823-000055-9,SINGLE|25-11-20823-000055-9,1,1,0,0,0,kept_canonical
25-11-20823-000056-8,SINGLE|25-11-20823-000056-8,1,1,0,0,0,kept_canonical
25-11-20823-000057-6,SINGLE|25-11-20823-000057-6,1,1,0,0,0,kept_canonical
25-11-20823-000058-4,SINGLE|25-11-20823-000058-4,1,1,0,0,0,kept_canonical
25-11-20823-000059-2,SINGLE|25-11-20823-000059-2,1,1,0,0,0,kept_canonical
25-11-20823-000060-2,SINGLE|25-11-20823-000060-2,1,1,0,0,1,kept_canonical
25-11-20823-000061-5,SINGLE|25-11-20823-000061-5,1,1,0,0,1,kept_canonical
25-11-20823-000062-8,SINGLE|25-11-20823-000062-8,1,1,0,0,1,kept_canonical
25-11-20823-000063-1,SINGLE|25-11-20823-000063-1,1,1,0,0,1,kept_canonical
25-11-20823-000064-4,SINGLE|25-11-20823-000064-4,1,1,0,0,2,kept_canonical
25-11-20823-000065-3,SINGLE|25-11-20823-000065-3,1,1,0,0,3,kept_canonical
25-11-20823-000066-6,SINGLE|25-11-20823-000066-6,1,1,0,0,1,kept_canonical
25-11-20823-000067-7,SINGLE|25-11-20823-000067-7,1,1,0,0,3,kept_canonical
25-11-20823-000068-9,SINGLE|25-11-20823-000068-9,1,1,0,0,1,kept_canonical
25-11-20823-000069-0,SINGLE|25-11-20823-000069-0,1,1,0,0,3,kept_canonical
25-11-20823-000070-3,SINGLE|25-11-20823-000070-3,1,1,0,0,1,kept_canonical
25-11-20823-000071-6,SINGLE|25-11-20823-000071-6,1,1,0,0,3,kept_canonical
25-11-20823-000072-7,SINGLE|25-11-20823-000072-7,1,1,0,0,1,kept_canonical
25-11-20823-000073-4,SINGLE|25-11-20823-000073-4,1,1,0,0,3,kept_canonical
25-11-20823-000074-2,SINGLE|25-11-20823-000074-2,1,1,0,0,1,kept_canonical
25-11-20823-000075-0,SINGLE|25-11-20823-000075-0,1,1,0,0,0,kept_canonical
25-11-20824-000001-8,SINGLE|25-11-20824-000001-8,1,1,0,0,0,kept_canonical
25-11-20824-000002-6,SINGLE|25-11-20824-000002-6,1,1,0,0,0,kept_canonical
25-11-20824-000003-9,SINGLE|25-11-20824-000003-9,1,1,0,0,0,kept_canonical
25-11-20824-000004-7,SINGLE|25-11-20824-000004-7,1,1,0,0,0,kept_canonical
25-11-20824-000005-2,SINGLE|25-11-20824-000005-2,1,1,0,0,0,kept_canonical
25-11-20824-000006-0,SINGLE|25-11-20824-000006-0,1,1,0,0,0,kept_canonical
25-11-20824-000007-1,SINGLE|25-11-20824-000007-1,1,1,0,0,0,kept_canonical
25-11-20824-000008-3,SINGLE|25-11-20824-000008-3,1,1,0,0,0,kept_canonical
25-11-20824-000009-4,SINGLE|25-11-20824-000009-4,1,1,0,0,0,kept_canonical
25-11-20824-000010-7,SINGLE|25-11-20824-000010-7,1,1,0,0,0,kept_canonical
25-11-20824-000011-0,SINGLE|25-11-20824-000011-0,1,1,0,0,0,kept_canonical
25-11-20824-000012-9,SINGLE|25-11-20824-000012-9,1,1,0,0,0,kept_canonical
25-11-20824-000013-2,SINGLE|25-11-20824-000013-2,1,1,0,0,1,kept_canonical
25-11-20824-000014-1,SINGLE|25-11-20824-000014-1,1,1,0,0,0,kept_canonical
25-11-20824-000015-5,SINGLE|25-11-20824-000015-5,1,1,0,0,1,kept_canonical
25-11-20824-000016-4,SINGLE|25-11-20824-000016-4,1,1,0,0,0,kept_canonical
25-11-20824-000017-8,SINGLE|25-11-20824-000017-8,1,1,0,0,0,kept_canonical
25-11-20824-000018-6,SINGLE|25-11-20824-000018-6,1,1,0,0,0,kept_canonical
25-11-20824-000019-3,SINGLE|25-11-20824-000019-3,1,1,0,0,0,kept_canonical
25-11-20824-000020-4,SINGLE|25-11-20824-000020-4,1,1,0,0,0,kept_canonical
25-11-20824-000021-2,SINGLE|25-11-20824-000021-2,1,1,0,0,0,kept_canonical
25-11-20824-000022-0,SINGLE|25-11-20824-000022-0,1,1,0,0,0,kept_canonical
25-11-20824-000023-6,SINGLE|25-11-20824-000023-6,1,1,0,0,0,kept_canonical
25-11-20824-000024-8,SINGLE|25-11-20824-000024-8,1,1,0,0,1,kept_canonical
25-11-20824-000029-9,SINGLE|25-11-20824-000029-9,1,1,0,0,0,kept_canonical
25-11-20824-000033-0,SINGLE|25-11-20824-000033-0,1,1,0,0,0,kept_canonical
25-11-20824-000034-9,SINGLE|25-11-20824-000034-9,1,1,0,0,0,kept_canonical
25-11-20824-000035-8,SINGLE|25-11-20824-000035-8,1,1,0,0,0,kept_canonical
25-11-20824-000036-3,SINGLE|25-11-20824-000036-3,1,1,0,0,0,kept_canonical
25-11-20824-000037-4,SINGLE|25-11-20824-000037-4,1,1,0,0,0,kept_canonical
25-11-20824-000038-2,SINGLE|25-11-20824-000038-2,1,1,0,0,0,kept_canonical
25-11-20824-000039-6,SINGLE|25-11-20824-000039-6,1,1,0,0,1,kept_canonical
25-11-20824-000040-0,SINGLE|25-11-20824-000040-0,1,1,0,0,0,kept_canonical
25-11-20824-000041-3,SINGLE|25-11-20824-000041-3,1,1,0,0,0,kept_canonical
25-11-20824-000042-1,SINGLE|25-11-20824-000042-1,1,1,0,0,0,kept_canonical
25-11-20824-000043-7,SINGLE|25-11-20824-000043-7,1,1,0,0,0,kept_canonical
25-11-20824-000044-5,SINGLE|25-11-20824-000044-5,1,1,0,0,0,kept_canonical
25-11-20824-000045-9,SINGLE|25-11-20824-000045-9,1,1,0,0,0,kept_canonical
25-11-20824-000046-8,SINGLE|25-11-20824-000046-8,1,1,0,0,0,kept_canonical
25-11-20824-000047-6,SINGLE|25-11-20824-000047-6,1,1,0,0,0,kept_canonical
25-11-20824-000048-4,SINGLE|25-11-20824-000048-4,1,1,0,0,0,kept_canonical
25-11-20824-000049-2,SINGLE|25-11-20824-000049-2,1,1,0,0,0,kept_canonical
25-11-20824-000050-6,SINGLE|25-11-20824-000050-6,1,1,0,0,0,kept_canonical
25-11-20824-000051-1,SINGLE|25-11-20824-000051-1,1,1,0,0,0,kept_canonical
25-11-20824-000052-2,SINGLE|25-11-20824-000052-2,1,1,0,0,1,kept_canonical
25-11-20824-000053-3,SINGLE|25-11-20824-000053-3,1,1,0,0,0,kept_canonical
25-11-20824-000054-0,SINGLE|25-11-20824-000054-0,1,1,0,0,0,kept_canonical
25-11-20824-000055-4,SINGLE|25-11-20824-000055-4,1,1,0,0,0,kept_canonical
25-11-20824-000056-5,SINGLE|25-11-20824-000056-5,1,1,0,0,1,kept_canonical
25-11-20824-000057-9,SINGLE|25-11-20824-000057-9,1,1,0,0,1,kept_canonical
25-11-20824-000058-7,SINGLE|25-11-20824-000058-7,1,1,0,0,0,kept_canonical
25-11-20824-000059-8,SINGLE|25-11-20824-000059-8,1,1,0,0,0,kept_canonical
25-11-20824-000060-3,SINGLE|25-11-20824-000060-3,1,1,0,0,0,kept_canonical
25-11-20824-000061-6,SINGLE|25-11-20824-000061-6,1,1,0,0,1,kept_canonical
25-11-20824-000062-7,SINGLE|25-11-20824-000062-7,1,1,0,0,0,kept_canonical
25-11-20824-000063-4,SINGLE|25-11-20824-000063-4,1,1,0,0,0,kept_canonical
25-11-20824-000064-2,SINGLE|25-11-20824-000064-2,1,1,0,0,0,kept_canonical
25-11-20824-000065-0,SINGLE|25-11-20824-000065-0,1,1,0,0,0,kept_canonical
25-11-20826-000001-3,SINGLE|25-11-20826-000001-3,1,1,0,0,0,kept_canonical
25-11-20826-000002-1,SINGLE|25-11-20826-000002-1,1,1,0,0,0,kept_canonical
25-11-20826-000003-7,SINGLE|25-11-20826-000003-7,1,1,0,0,0,kept_canonical
25-11-20826-000004-5,SINGLE|25-11-20826-000004-5,1,1,0,0,0,kept_canonical
25-11-20826-000005-9,SINGLE|25-11-20826-000005-9,1,1,0,0,1,kept_canonical
25-11-20826-000006-8,SINGLE|25-11-20826-000006-8,1,1,0,0,1,kept_canonical
25-11-20828-000001-2,SINGLE|25-11-20828-000001-2,1,1,0,0,0,kept_canonical
25-11-20828-000002-0,SINGLE|25-11-20828-000002-0,1,1,0,0,0,kept_canonical
25-11-20828-000003-6,SINGLE|25-11-20828-000003-6,1,1,0,0,0,kept_canonical
25-11-20828-000004-8,SINGLE|25-11-20828-000004-8,1,1,0,0,0,kept_canonical
25-11-20828-000005-7,SINGLE|25-11-20828-000005-7,1,1,0,0,0,kept_canonical
25-11-20828-000006-1,SINGLE|25-11-20828-000006-1,1,1,0,0,0,kept_canonical
25-11-20828-000007-3,SINGLE|25-11-20828-000007-3,1,1,0,0,0,kept_canonical
25-11-20828-000008-5,SINGLE|25-11-20828-000008-5,1,1,0,0,0,kept_canonical
25-11-20828-000009-9,SINGLE|25-11-20828-000009-9,1,1,0,0,0,kept_canonical
25-11-20828-000010-3,SINGLE|25-11-20828-000010-3,1,1,0,0,0,kept_canonical
25-11-20831-000001-5,SINGLE|25-11-20831-000001-5,1,1,0,0,0,kept_canonical
25-11-20831-000002-8,SINGLE|25-11-20831-000002-8,1,1,0,0,0,kept_canonical
25-11-20831-000003-1,SINGLE|25-11-20831-000003-1,1,1,0,0,0,kept_canonical
25-11-20831-000004-4,SINGLE|25-11-20831-000004-4,1,1,0,0,0,kept_canonical
25-11-20833-000001-1,SINGLE|25-11-20833-000001-1,1,1,0,0,0,kept_canonical
25-11-20834-000001-9,SINGLE|25-11-20834-000001-9,1,1,0,0,0,kept_canonical
25-11-20834-000002-4,SINGLE|25-11-20834-000002-4,1,1,0,0,0,kept_canonical
25-11-20834-000003-5,SINGLE|25-11-20834-000003-5,1,1,0,0,0,kept_canonical
25-11-20834-000004-3,SINGLE|25-11-20834-000004-3,1,1,0,0,0,kept_canonical
25-11-20835-000001-2,SINGLE|25-11-20835-000001-2,1,1,0,0,0,kept_canonical
25-11-20835-000002-0,SINGLE|25-11-20835-000002-0,1,1,0,0,0,kept_canonical
25-11-20835-000003-6,SINGLE|25-11-20835-000003-6,1,1,0,0,0,kept_canonical
25-11-20835-000004-8,SINGLE|25-11-20835-000004-8,1,1,0,0,0,kept_canonical
25-11-20835-000005-7,SINGLE|25-11-20835-000005-7,1,1,0,0,0,kept_canonical
25-11-20835-000006-1,SINGLE|25-11-20835-000006-1,1,1,0,0,0,kept_canonical
25-11-20835-000007-3,SINGLE|25-11-20835-000007-3,1,1,0,0,0,kept_canonical
25-11-20835-000008-5,SINGLE|25-11-20835-000008-5,1,1,0,0,0,kept_canonical
25-11-20835-000009-9,SINGLE|25-11-20835-000009-9,1,1,0,0,0,kept_canonical
25-11-20835-000010-3,SINGLE|25-11-20835-000010-3,1,1,0,0,0,kept_canonical
25-11-20835-000011-6,SINGLE|25-11-20835-000011-6,1,1,0,0,0,kept_canonical
25-11-20835-000012-7,SINGLE|25-11-20835-000012-7,1,1,0,0,0,kept_canonical
25-11-20835-000013-4,SINGLE|25-11-20835-000013-4,1,1,0,0,0,kept_canonical
25-11-20835-000014-2,SINGLE|25-11-20835-000014-2,1,1,0,0,0,kept_canonical
25-11-20835-000015-0,SINGLE|25-11-20835-000015-0,1,1,0,0,0,kept_canonical
25-11-20835-000016-9,SINGLE|25-11-20835-000016-9,1,1,0,0,0,kept_canonical
25-11-20835-000017-5,SINGLE|25-11-20835-000017-5,1,1,0,0,0,kept_canonical
25-11-20835-000018-8,SINGLE|25-11-20835-000018-8,1,1,0,0,0,kept_canonical
25-11-20835-000019-1,SINGLE|25-11-20835-000019-1,1,1,0,0,0,kept_canonical
25-11-20835-000020-9,SINGLE|25-11-20835-000020-9,1,1,0,0,0,kept_canonical
25-11-20835-000021-4,SINGLE|25-11-20835-000021-4,1,1,0,0,0,kept_canonical
25-11-20835-000022-3,SINGLE|25-11-20835-000022-3,1,1,0,0,0,kept_canonical
25-11-20835-000023-8,SINGLE|25-11-20835-000023-8,1,1,0,0,0,kept_canonical
25-11-20835-000024-6,SINGLE|25-11-20835-000024-6,1,1,0,0,0,kept_canonical
25-11-20835-000037-8,SINGLE|25-11-20835-000037-8,1,1,0,0,0,kept_canonical
25-11-20835-000038-6,SINGLE|25-11-20835-000038-6,1,1,0,0,1,kept_canonical
25-11-20835-000039-3,SINGLE|25-11-20835-000039-3,1,1,0,0,1,kept_canonical
25-11-20835-000041-1,SINGLE|25-11-20835-000041-1,1,1,0,0,0,kept_canonical
25-11-20835-000042-2,SINGLE|25-11-20835-000042-2,1,1,0,0,1,kept_canonical
25-11-20835-000043-3,SINGLE|25-11-20835-000043-3,1,1,0,0,0,kept_canonical
25-11-20835-000044-0,SINGLE|25-11-20835-000044-0,1,1,0,0,0,kept_canonical
25-11-20835-000045-4,SINGLE|25-11-20835-000045-4,1,1,0,0,0,kept_canonical
25-11-20835-000046-5,SINGLE|25-11-20835-000046-5,1,1,0,0,0,kept_canonical
25-11-20835-000047-9,SINGLE|25-11-20835-000047-9,1,1,0,0,0,kept_canonical
25-11-20835-000048-7,SINGLE|25-11-20835-000048-7,1,1,0,0,0,kept_canonical
25-11-20835-000049-8,SINGLE|25-11-20835-000049-8,1,1,0,0,0,kept_canonical
25-11-20835-000050-1,SINGLE|25-11-20835-000050-1,1,1,0,0,0,kept_canonical
25-11-20835-000051-7,SINGLE|25-11-20835-000051-7,1,1,0,0,0,kept_canonical
25-11-20835-000052-5,SINGLE|25-11-20835-000052-5,1,1,0,0,0,kept_canonical
25-11-20835-000053-0,SINGLE|25-11-20835-000053-0,1,1,0,0,0,kept_canonical
25-11-20835-000054-9,SINGLE|25-11-20835-000054-9,1,1,0,0,0,kept_canonical
25-11-20835-000055-8,SINGLE|25-11-20835-000055-8,1,1,0,0,0,kept_canonical
25-11-20835-000056-3,SINGLE|25-11-20835-000056-3,1,1,0,0,0,kept_canonical
25-11-20835-000057-4,SINGLE|25-11-20835-000057-4,1,1,0,0,0,kept_canonical
25-11-20835-000058-2,SINGLE|25-11-20835-000058-2,1,1,0,0,0,kept_canonical
25-11-20835-000059-6,SINGLE|25-11-20835-000059-6,1,1,0,0,0,kept_canonical
25-11-20835-000060-5,SINGLE|25-11-20835-000060-5,1,1,0,0,1,kept_canonical
25-11-20835-000061-8,SINGLE|25-11-20835-000061-8,1,1,0,0,0,kept_canonical
25-11-20835-000062-6,SINGLE|25-11-20835-000062-6,1,1,0,0,0,kept_canonical
25-11-20835-000063-9,SINGLE|25-11-20835-000063-9,1,1,0,0,0,kept_canonical
25-11-20835-000064-7,SINGLE|25-11-20835-000064-7,1,1,0,0,0,kept_canonical
25-11-20835-000066-0,SINGLE|25-11-20835-000066-0,1,1,0,0,0,kept_canonical
25-11-20835-000067-1,SINGLE|25-11-20835-000067-1,1,1,0,0,0,kept_canonical
25-11-20835-000068-3,SINGLE|25-11-20835-000068-3,1,1,0,0,0,kept_canonical
25-11-20835-000069-4,SINGLE|25-11-20835-000069-4,1,1,0,0,0,kept_canonical
25-11-20835-000070-8,SINGLE|25-11-20835-000070-8,1,1,0,0,0,kept_canonical
25-11-20835-000071-9,SINGLE|25-11-20835-000071-9,1,1,0,0,0,kept_canonical
25-11-20835-000072-4,SINGLE|25-11-20835-000072-4,1,1,0,0,2,kept_canonical
25-11-20835-000073-5,SINGLE|25-11-20835-000073-5,1,1,0,0,1,kept_canonical
25-11-20835-000074-3,SINGLE|25-11-20835-000074-3,1,1,0,0,0,kept_canonical
25-11-20835-000075-6,SINGLE|25-11-20835-000075-6,1,1,0,0,1,kept_canonical
25-11-20835-000076-2,SINGLE|25-11-20835-000076-2,1,1,0,0,1,kept_canonical
25-11-20835-000077-0,SINGLE|25-11-20835-000077-0,1,1,0,0,0,kept_canonical
25-11-20835-000078-1,SINGLE|25-11-20835-000078-1,1,1,0,0,1,kept_canonical
25-11-20835-000079-7,SINGLE|25-11-20835-000079-7,1,1,0,0,0,kept_canonical
25-11-20835-000080-2,SINGLE|25-11-20835-000080-2,1,1,0,0,0,kept_canonical
25-11-20835-000081-5,SINGLE|25-11-20835-000081-5,1,1,0,0,0,kept_canonical
25-11-20835-000082-8,SINGLE|25-11-20835-000082-8,1,1,0,0,0,kept_canonical
25-11-20835-000083-1,SINGLE|25-11-20835-000083-1,1,1,0,0,0,kept_canonical
25-11-20835-000084-4,SINGLE|25-11-20835-000084-4,1,1,0,0,0,kept_canonical
25-11-20835-000085-3,SINGLE|25-11-20835-000085-3,1,1,0,0,1,kept_canonical
25-11-20835-000086-6,SINGLE|25-11-20835-000086-6,1,1,0,0,0,kept_canonical
25-11-20835-000087-7,SINGLE|25-11-20835-000087-7,1,1,0,0,0,kept_canonical
25-11-20836-000001-4,SINGLE|25-11-20836-000001-4,1,1,0,0,0,kept_canonical
25-11-20836-000002-3,SINGLE|25-11-20836-000002-3,1,1,0,0,0,kept_canonical
25-11-20836-000003-8,SINGLE|25-11-20836-000003-8,1,1,0,0,0,kept_canonical
25-11-20836-000004-6,SINGLE|25-11-20836-000004-6,1,1,0,0,1,kept_canonical
25-11-20836-000005-1,SINGLE|25-11-20836-000005-1,1,1,0,0,0,kept_canonical
25-11-20836-000006-7,SINGLE|25-11-20836-000006-7,1,1,0,0,0,kept_canonical
25-11-20838-000001-7,SINGLE|25-11-20838-000001-7,1,1,0,0,0,kept_canonical
25-11-20838-000002-5,SINGLE|25-11-20838-000002-5,1,1,0,0,0,kept_canonical
25-11-20838-000003-0,SINGLE|25-11-20838-000003-0,1,1,0,0,0,kept_canonical
25-11-20838-000004-9,SINGLE|25-11-20838-000004-9,1,1,0,0,0,kept_canonical
25-11-20838-000005-8,SINGLE|25-11-20838-000005-8,1,1,0,0,0,kept_canonical
25-11-20838-000006-3,SINGLE|25-11-20838-000006-3,1,1,0,0,0,kept_canonical
25-11-20838-000007-4,SINGLE|25-11-20838-000007-4,1,1,0,0,0,kept_canonical
25-11-20838-000008-2,SINGLE|25-11-20838-000008-2,1,1,0,0,0,kept_canonical
25-11-20838-000009-6,SINGLE|25-11-20838-000009-6,1,1,0,0,0,kept_canonical
25-11-20838-000010-5,SINGLE|25-11-20838-000010-5,1,1,0,0,0,kept_canonical
25-11-20838-000011-8,SINGLE|25-11-20838-000011-8,1,1,0,0,0,kept_canonical
25-11-20838-000012-6,SINGLE|25-11-20838-000012-6,1,1,0,0,0,kept_canonical
25-11-20838-000013-9,SINGLE|25-11-20838-000013-9,1,1,0,0,0,kept_canonical
25-11-20838-000014-7,SINGLE|25-11-20838-000014-7,1,1,0,0,0,kept_canonical
25-11-20838-000015-2,SINGLE|25-11-20838-000015-2,1,1,0,0,0,kept_canonical
25-11-20838-000016-0,SINGLE|25-11-20838-000016-0,1,1,0,0,0,kept_canonical
25-11-20838-000017-1,SINGLE|25-11-20838-000017-1,1,1,0,0,0,kept_canonical
25-11-20838-000018-3,SINGLE|25-11-20838-000018-3,1,1,0,0,0,kept_canonical
25-11-20838-000019-4,SINGLE|25-11-20838-000019-4,1,1,0,0,0,kept_canonical
25-11-20838-000020-8,SINGLE|25-11-20838-000020-8,1,1,0,0,0,kept_canonical
25-11-20838-000021-9,SINGLE|25-11-20838-000021-9,1,1,0,0,0,kept_canonical
25-11-20838-000022-4,SINGLE|25-11-20838-000022-4,1,1,0,0,0,kept_canonical
25-11-20838-000023-5,SINGLE|25-11-20838-000023-5,1,1,0,0,0,kept_canonical
25-11-20838-000024-3,SINGLE|25-11-20838-000024-3,1,1,0,0,0,kept_canonical
25-11-20838-000025-6,SINGLE|25-11-20838-000025-6,1,1,0,0,0,kept_canonical
25-11-20838-000026-2,SINGLE|25-11-20838-000026-2,1,1,0,0,0,kept_canonical
25-11-20838-000027-0,SINGLE|25-11-20838-000027-0,1,1,0,0,0,kept_canonical
